l	14.167	-0.727	14.216	4.893	1
l	14.222	6.359	14.098	13.000	1
l	-0.793	-0.595	-0.816	-9.595	1
l	-0.683	12.656	-0.712	19.923	1
l	-6.853	-1.273	-6.834	-10.472	1
l	-6.567	12.873	-6.599	13.686	1
l	-6.536	17.531	-6.490	21.161	1
l	-0.793	-0.595	2.830	1.421	1
l	2.830	1.421	10.952	2.180	1
l	10.952	2.180	14.167	-0.727	1
l	-0.683	12.656	1.576	9.677	1
l	1.576	9.677	12.857	9.763	1
l	12.857	9.763	12.963	12.888	1
l	14.580	12.995	12.963	12.888	1
-
l	-10.095	-10.941	-6.490	21.161	1
l	-10.095	-10.941	14.087	-7.433	1
l	-6.490	21.161	14.782	16.604	1
l	14.087	-7.433	14.782	16.604	1
